id,name,label,gloss,time_signature,act_iii_phrasing,plain_language
1,death,Death,A character dies as direct consequence of the protagonist's action or inaction; the relation is permanently extinguished,biological,"the death they could not prevent has, by then, already happened",Someone is dead because of what the protagonist did or did not do
2,public_statement,Public Statement,The protagonist makes a declaration in public the credibility of which cannot be retracted,institutional,"the statement they made on the record cannot be unmade now",The microphone has been opened and the words are now in the air
3,lost_document,Lost Document,A legal medical or evidentiary document is destroyed forged or permanently lost,physical,"the document is in the fire and the fire is out",The paper that proved the case has been burned
4,pregnancy,Pregnancy,A pregnancy begins; the prior dyad and prior life path no longer exists,biological,"the body has decided what the protagonist had not yet agreed to",The test has read two lines and there is no taking that back
5,crossing_a_border,Crossing a Border,The protagonist enters a territory physical legal or social that cannot be returned from without catastrophic cost,physical,"the border closes behind them at the hour the train pulls out of the station",They have walked across a line that closes when they finish crossing
6,killing_the_messenger,Killing the Messenger,The single witness who held the resolving information is silenced before transmission,social,"the only person who could have spoken stops returning the protagonist's calls",The one person who knew the answer has gone silent
7,burned_bridge,Burned Bridge,The protagonist destroys an alliance institution or relationship that cannot be rebuilt,social,"the resignation letter is on the desk and the desk is no longer theirs",They have said the unforgivable thing in public and there is no walking it back
8,sealed_container,Sealed Container,The protagonist or others is enclosed in a space legal structure or information blackout from which exit needs external action,physical,"the door has clamped shut and the only key is on the wrong side of it",They are locked in a place only someone outside can open
9,spoken_vow,Spoken Vow,The protagonist makes a verbal commitment in a context where breaking it carries catastrophic moral or legal cost,social,"the words have left the protagonist's mouth into the witness's hearing",They have promised it out loud in front of someone who heard
10,made_public,Made Public,Information that was private is released into a public sphere from which it cannot be recalled,institutional,"the file was uploaded eight minutes ago and the mirrors are already replicating",The secret has been published and it cannot be un-published
11,fingerprint_match,Fingerprint Match,Forensic legal or documentary evidence definitively identifies the protagonist as the agent of a prior act,institutional,"the match came back from the lab and it is their name on the slip",A record from the past has just confirmed who they are
12,genie_out_of_bottle,Genie Out of Bottle,The protagonist releases a force idea technology or biological agent that propagates autonomously,physical,"the thing they let out is now in the world and the bottle is empty",The thing they set loose is loose and they cannot recall it
