rank,run_id,combined_quality,crystallization_score,genius_score,som_y1_m,world,moral_wager,top_comp,top_comp_gross_m,axes_triple,cluster_label,has_narrator,narrator_path
1,evolve-20260524T045021Z,0.8407,0.8407,1.0,250.5,archaeological site where the past and present collide,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",Sommersby (1993),140.1,MF_07 + DE_05 + SW_10,identity,False,
2,evolve-20260524T045207Z,0.8263,0.8263,1.0,256.3,an enchanted realm where physical laws are expressions of e…,Precision without accountability leads to harm that the precision itself cannot measure.,A.I. Artificial Intelligence (2001),235.9,MF_06 + DE_09 + SW_15,civilizational,False,
3,evolve-20260524T040351Z,0.8263,0.8263,1.0,256.3,intensive care unit,"The act of care, performed without presence, becomes the instrument of harm.",A.I. Artificial Intelligence (2001),235.9,MF_02 + DE_02 + SW_13,civilizational,False,
4,evolve-20260525T165727Z,0.8218,0.8367,0.9821,256.3,archive or document repository holding suppressed records,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",A.I. Artificial Intelligence (2001),235.9,MF_01 + DE_01 + SW_12,civilizational,False,
5,evolve-20260524T044957Z,0.8215,0.8252,0.9955,256.3,federal regulatory agency,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",A.I. Artificial Intelligence (2001),235.9,MF_01 + DE_06 + SW_13,civilizational,False,
6,evolve-20260524T045105Z,0.816,0.8367,0.9753,256.3,a village facing forced relocation due to climate or develo…,Precision without accountability leads to harm that the precision itself cannot measure.,A.I. Artificial Intelligence (2001),235.9,MF_05 + DE_02 + SW_12,civilizational,False,
7,evolve-20260524T044917Z,0.815,0.815,1.0,284.3,migration detention facility,Precision without accountability leads to harm that the precision itself cannot measure.,Indecent Proposal (1993),266.6,MF_06 + DE_08 + SW_15,emotional,False,
8,evolve-20260526T045810Z,0.8027,0.8027,1.0,258.5,public defender's office in an underfunded court system,Precision without accountability leads to harm that the precision itself cannot measure.,A.I. Artificial Intelligence (2001),235.9,MF_03 + DE_04 + SW_12,civilizational,False,
9,evolve-20260524T173621Z,0.7995,0.7995,1.0,284.3,archaeological site where the past and present collide,Precision without accountability leads to harm that the precision itself cannot measure.,Indecent Proposal (1993),266.6,MF_06 + DE_07 + SW_15,emotional,False,
10,evolve-20260524T045823Z,0.7955,0.7955,1.0,211.0,a prison where the guard and prisoner have irreconcilably c…,"The act of care, performed without presence, becomes the instrument of harm.",A.I. Artificial Intelligence (2001),235.9,MF_02 + DE_09 + SW_09,civilizational,False,
11,evolve-20260524T044856Z,0.7955,0.7955,1.0,258.5,an AI development lab at the moment of an irreversible depl…,Precision without accountability leads to harm that the precision itself cannot measure.,A.I. Artificial Intelligence (2001),235.9,MF_06 + DE_01 + SW_14,civilizational,False,
12,evolve-20260527T150025Z,0.7933,0.8312,0.9544,369.3,an enchanted realm where physical laws are expressions of e…,Precision without accountability leads to harm that the precision itself cannot measure.,Unbreakable (2000),248.1,MF_10 + DE_07 + SW_16,civilizational,False,
13,evolve-20260524T035443Z,0.7889,0.7889,1.0,245.6,a society in a single compressed moment of transformation —…,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",A.I. Artificial Intelligence (2001),235.9,MF_09 + DE_05 + SW_10,civilizational,False,
14,evolve-20260524T044938Z,0.7797,0.8068,0.9665,283.9,archaeological site where the past and present collide,Precision without accountability leads to harm that the precision itself cannot measure.,The Village (2004),256.7,MF_05 + DE_05 + SW_08,institutional,False,
15,evolve-20260526T070613Z,0.7792,0.8164,0.9544,448.4,a living alien ecosystem with its own evolutionary consciou…,"The act of care, performed without presence, becomes the instrument of harm.",Interstellar (2014),746.6,MF_02 + DE_02 + SW_16,civilizational,False,
16,evolve-20260524T042309Z,0.778,0.8071,0.964,272.3,a courtroom during a precedent-setting case,Precision without accountability leads to harm that the precision itself cannot measure.,The Village (2004),256.7,MF_10 + DE_06 + SW_06,institutional,False,
17,evolve-20260527T075846Z,0.7728,0.7728,1.0,272.3,an enchanted realm where physical laws are expressions of e…,Precision without accountability leads to harm that the precision itself cannot measure.,Dhurandhar (2025),137.2,MF_08 + DE_03 + SW_06,economic,False,
18,evolve-20260524T045125Z,0.7716,0.7848,0.9831,245.6,a village facing forced relocation due to climate or develo…,Precision without accountability leads to harm that the precision itself cannot measure.,A.I. Artificial Intelligence (2001),235.9,MF_04 + DE_06 + SW_11,civilizational,False,
19,evolve-20260527T075151Z,0.7711,0.7711,1.0,241.9,international treaty negotiation,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",What Lies Beneath,291.4,MF_09 + DE_02 + SW_13,civilizational,False,
20,evolve-20260524T172830Z,0.7701,0.7896,0.9753,256.3,an enchanted realm where physical laws are expressions of e…,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",A.I. Artificial Intelligence (2001),235.9,MF_01 + DE_09 + SW_14,civilizational,False,
